top - 15:03:41 up  5:33,  1 user,  load average: 0.11, 0.39, 1.30
Tasks: 280 total,   1 running, 277 sleeping,   0 stopped,   2 zombie
%Cpu(s):  4.3 us,  1.3 sy,  0.1 ni, 89.2 id,  5.2 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  3916032 total,  1384392 free,  1564868 used,   966772 buff/cache
KiB Swap:  4061180 total,  3484468 free,   576712 used.  1894540 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
22230 root      20   0    7292    808    732 S   0.0  0.0   0:00.00 sleep
22231 root      20   0    7292    808    732 S   0.0  0.0   0:00.00 sleep
22232 root      20   0    7292    664    592 S   0.0  0.0   0:00.00 sleep
22233 root      20   0    7292    816    740 S   0.0  0.0   0:00.00 sleep
22234 root      20   0    7292    684    608 S   0.0  0.0   0:00.00 sleep
22235 root      20   0    7292    668    592 S   0.0  0.0   0:00.00 sleep
22236 root      20   0    7292    672    596 S   0.0  0.0   0:00.00 sleep
22237 root      20   0    7292    648    572 S   0.0  0.0   0:00.00 sleep
22238 root      20   0    7292    676    600 S   0.0  0.0   0:00.00 sleep
22239 root      20   0    7292    688    612 S   0.0  0.0   0:00.00 sleep
22240 root      20   0    7292    668    592 S   0.0  0.0   0:00.00 sleep
22241 root      20   0    7292    760    684 S   0.0  0.0   0:00.00 sleep
22242 root      20   0    7292    808    732 S   0.0  0.0   0:00.00 sleep
22243 root      20   0    7292    668    592 S   0.0  0.0   0:00.00 sleep
22244 root      20   0    7292    668    592 S   0.0  0.0   0:00.00 sleep
22245 root      20   0    7292    680    604 S   0.0  0.0   0:00.00 sleep
22246 root      20   0    7292    652    576 S   0.0  0.0   0:00.00 sleep
22247 root      20   0    7292    760    684 S   0.0  0.0   0:00.00 sleep
22248 root      20   0    7292    704    632 S   0.0  0.0   0:00.00 sleep
22249 root      20   0    7292    660    584 S   0.0  0.0   0:00.00 sleep
22253 root      20   0    7292    680    604 S   0.0  0.0   0:00.00 sleep
22254 root      20   0    7292    652    576 S   0.0  0.0   0:00.00 sleep
22255 root      20   0    7292    664    592 S   0.0  0.0   0:00.00 sleep
22256 root      20   0    7292    688    612 S   0.0  0.0   0:00.00 sleep
22257 root      20   0    7292    760    684 S   0.0  0.0   0:00.00 sleep
22258 root      20   0    7292    812    740 S   0.0  0.0   0:00.00 sleep
22259 root      20   0    7292    652    576 S   0.0  0.0   0:00.00 sleep
22260 root      20   0    7292    660    588 S   0.0  0.0   0:00.00 sleep
22261 root      20   0    7292    680    604 S   0.0  0.0   0:00.00 sleep
22262 root      20   0    7292    668    596 S   0.0  0.0   0:00.00 sleep

top - 15:03:51 up  5:33,  1 user,  load average: 0.09, 0.37, 1.28
Tasks: 230 total,   1 running, 227 sleeping,   0 stopped,   2 zombie
%Cpu(s):  5.0 us,  1.1 sy,  0.2 ni, 93.2 id,  0.5 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  3916032 total,  1415444 free,  1534548 used,   966040 buff/cache
KiB Swap:  4061180 total,  3484468 free,   576712 used.  1925880 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 2791 naluvjyo  20   0 3155576 736716  94632 S   9.9 18.8  13:14.00 firefox
  982 root      20   0  456664  59976  45228 S   1.4  1.5   2:17.66 Xorg
22010 root      20   0  368096  51608  12756 S   1.2  1.3   0:01.92 python
 2499 naluvjyo  20   0 1283344  67600  29220 S   0.6  1.7   1:39.24 compiz
 6580 naluvjyo  20   0 1190300  52400  26208 S   0.4  1.3   0:38.16 sublime_te+
 2349 naluvjyo  20   0  604636  49748  10128 S   0.2  1.3   0:06.66 unity-pane+
 2525 naluvjyo  20   0 1531416  42564  24284 S   0.2  1.1   0:24.18 nautilus
    1 root      20   0  119852   5456   3568 S   0.1  0.1   0:03.35 systemd
  164 root      20   0       0      0      0 S   0.1  0.0   0:01.76 jbd2/sda1-8
  243 root      20   0   46192   4684   2596 S   0.1  0.1   0:00.60 systemd-ud+
  705 message+  20   0   60108   3880   2112 S   0.1  0.1   0:02.82 dbus-daemon
 2302 naluvjyo  20   0   58736   2804   2488 S   0.1  0.1   0:00.39 dbus-daemon
 2355 naluvjyo  20   0  748720  50736  12340 S   0.1  1.3   0:07.34 hud-service
 7978 naluvjyo  20   0 1380900 154716  24576 S   0.1  4.0   0:03.94 soffice.bin
21599 root      20   0       0      0      0 S   0.1  0.0   0:00.08 kworker/u4+
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kthreadd
    3 root      20   0       0      0      0 S   0.0  0.0   0:00.98 ksoftirqd/0
    5 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0:+
